"ID","Mission_Number","Time_of_Initial_Call","Aircraft_ID","Mission_Activation_Time","Date_and_Time_Connected_to_Asset","TaskStatusID","BaseShiftID","TaskTypeID","SectorID"
"88935","LFA9433","15/10/2017 8:12:59 PM","62","15/10/2017 8:13:21 PM","15/10/2017 8:13:25 PM","3","19","21","2"
"88936","LFA9434","15/10/2017 8:19:11 PM","69","15/10/2017 8:19:20 PM","15/10/2017 8:19:23 PM","3","15","21","2"
"88937","LFA9435","15/10/2017 10:30:51 PM","98","15/10/2017 10:36:16 PM","15/10/2017 10:36:17 PM","3","4","21","2"
"88938","LFA9436","16/10/2017 6:20:13 AM","83","16/10/2017 6:20:26 AM","16/10/2017 6:20:30 AM","3","8","21","2"
"88939","LFA9437","16/10/2017 8:06:52 AM","68","16/10/2017 8:07:05 AM","16/10/2017 8:07:03 AM","3","6","21","2"
"88940","LFA9438","16/10/2017 8:19:12 AM","96","16/10/2017 8:19:24 AM","16/10/2017 8:19:23 AM","3","11","21","2"
"88941","LFA9439","16/10/2017 8:46:46 AM","69","16/10/2017 8:46:59 AM","16/10/2017 8:46:58 AM","3","14","21","2"
"88942","LFA9440","16/10/2017 10:14:09 AM","98","16/10/2017 10:14:17 AM","16/10/2017 10:14:16 AM","3","2","21","2"
"88943","LFA9441","16/10/2017 11:44:20 AM","72","16/10/2017 11:44:32 AM","16/10/2017 11:44:31 AM","3","5","21","2"
"88944","LFA9442","16/10/2017 12:52:06 PM","71","16/10/2017 12:54:13 PM","16/10/2017 12:54:11 PM","3","13","21","2"
"88945","LFA9443","16/10/2017 12:53:21 PM","100","16/10/2017 12:53:52 PM","16/10/2017 12:53:50 PM","5","16","21","2"
"88946","LFA9444","16/10/2017 1:47:32 PM","100","16/10/2017 1:47:46 PM","16/10/2017 1:47:45 PM","3","16","21","2"
"88947","LFA9445","16/10/2017 2:00:10 PM","63","16/10/2017 2:00:21 PM","16/10/2017 2:00:21 PM","3","10","21","2"
"88948","LFA9446","16/10/2017 2:43:00 PM","62","16/10/2017 2:43:22 PM","16/10/2017 2:43:21 PM","3","18","21","2"
"88949","LFA9447","16/10/2017 6:30:44 PM","100","16/10/2017 6:31:05 PM","16/10/2017 6:31:03 PM","3","17","21","2"
